T,k
200,3598820205677.96
300,1384365848680.28
400,918526746446.366
500,846020502047.191
600,913357292578.687
700,1064137777998.82
800,1284494707804.24
900,1572988369463.2
1000,1932557956912.69
1000,1932557956912.69
1000,1932557956912.69
1000,1932557956912.69
1000,1932557956912.69
1100,2367768739012.29
1100,2367768739012.29
1100,2367768739012.29
1100,2367768739012.29
1100,2367768739012.29
1200,2883668329436.64
1200,2883668329436.64
1200,2883668329436.64
1200,2883668329436.64
1200,2883668329436.64
1300,3485232275971.83
1300,3485232275971.83
1300,3485232275971.83
1300,3485232275971.83
1300,3485232275971.83
1400,4177063735680.52
1400,4177063735680.52
1400,4177063735680.52
1400,4177063735680.52
1400,4177063735680.52
1500,4963220865761.82
1500,4963220865761.82
1500,4963220865761.82
1500,4963220865761.82
1500,4963220865761.82
1600,5847118271780.92
1600,5847118271780.92
1600,5847118271780.92
1600,5847118271780.92
1600,5847118271780.92
1700,6831476911417.45
1700,6831476911417.45
1700,6831476911417.45
1700,6831476911417.45
1700,6831476911417.45
1800,7918308618829.78
1800,7918308618829.78
1800,7918308618829.78
1800,7918308618829.78
1800,7918308618829.78
1900,9108926726341.08
1900,9108926726341.08
1900,9108926726341.08
1900,9108926726341.08
1900,9108926726341.08
2000,10403976846527.2
2000,10403976846527.2
2000,10403976846527.2
2000,10403976846527.2
2000,10403976846527.2
2100,11803483258920.4
2100,11803483258920.4
2100,11803483258920.4
2100,11803483258920.4
2100,11803483258920.4
2200,13306907175947.7
2200,13306907175947.7
2200,13306907175947.7
2200,13306907175947.7
2200,13306907175947.7
2300,14913213735305
2300,14913213735305
2300,14913213735305
2300,14913213735305
2300,14913213735305
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
2400,16620945014500.6
